"Index","Name","Volume","Margulis Number","Geodesic Length 1","Geodesic Length 2","Ortholine Length"
9837,"v3339(-1,4)",5.886093196684060109263288284,1.1986794873339555,(0.572641595121+1.95574555194j),(1.03992228114-2.8324159149j),0.894454341122613
9838,"v3525(3,1)",5.886732645871145429402783575,1.222567562635813,(0.610365055895-1.86509655083j),(0.644866611132-2.23244881965j),1.180187852012782
9839,"v3289(-5,2)",5.886862771343657960201959620,1.2197278904211004,(0.415034615364+1.97554477375j),(0.968614172054+3.0740306415j),1.020879978508099
9840,"v3428(-1,2)",5.887111768513214700672291554,1.2681020397418512,(0.433064303159-2.98796718446j),(1.26111117174+1.88059104381j),1.007434809342153
9841,"v3280(-5,1)",5.887243889845637472073889501,1.1045248397826888,(0.770041605212+3.05907389943j),(0.982332909792-2.62958120877j),0.636322662315757
9842,"v3399(-3,2)",5.887419987105073049270045917,1.404678611111623,(0.413958077182-2.56900649863j),(1.2027831486-1.80835858111j),1.22023668395979
9843,"v3387(-3,2)",5.887736230007843192286112277,1.2198970828445501,(0.900085766675-3.09619500756j),(1.02625754281+3.09076961813j),0.715407279311498
9844,"v3305(1,3)",5.887753738967475067139639370,1.167049552207035,(0.680013033233+1.39907708837j),(0.780099164145-2.54819822106j),1.090558002556109
9845,"v3237(-5,2)",5.887845229064253706425381457,1.2442184418550259,(0.406718016079-1.59755491391j),(0.611942790255+2.30892046306j),1.342621051474585
9846,"v3431(-2,3)",5.888212973353392528548713139,1.260868416522636,(0.889442997212-2.94185904702j),(0.998325188537+2.92101778579j),0.806915852752414
9847,"v3244(4,3)",5.888212973353392528548713139,1.1732923323176407,(1.1365796228-1.76353266621j),(1.1365796228-1.76353266621j),0.330013519220323
9848,"v3243(-4,1)",5.888212973353392528548713139,1.1732923323176736,(0.752884421654-2.22018176647j),(0.752884421654-2.22018176647j),0.960994778131494
9849,"v3246(4,3)",5.888212973353392528548713139,1.173292332317655,(0.666416996993+1.47841838253j),(0.666416996993+1.47841838253j),1.287559687016681
9850,"v3247(4,1)",5.888212973353392528548713139,1.1732923323173794,(0.666416996993+1.47841838253j),(0.666416996993+1.47841838253j),1.287559687016265
9851,"v3377(2,3)",5.888212973353392528548713139,1.3581631272635664,(1.33416449582-1.87039673665j),(1.33416449582-1.87039673665j),0.271105736998002
9852,"v3378(2,3)",5.888212973353392528548713139,1.3581631272635888,(0.666416996993+1.47841838253j),(0.666416996993+1.47841838253j),1.558385034048369
9853,"v3249(2,3)",5.888263777944387125311683423,1.243388026230462,(1.1889541858+3.09404142034j),(1.24338802623+1.44677672894j),0.013927812737625
9854,"v3522(-3,2)",5.888775391481068517061983397,1.3107393091658619,(1.26505437268-1.0867114796j),(1.30379338105-1.44801434605j),0.307942549073942
9855,"v3266(3,4)",5.888869016766297121972713373,1.211567311936611,(0.822622214658-1.97836786335j),(0.822622214658-1.97836786334j),0.994174353687386
9856,"v3279(-2,3)",5.888975994190582871092003053,1.251319024553543,(0.578716003376-2.48272299808j),(0.717669365294+2.13905801086j),1.130372624141761
9857,"v3536(-4,1)",5.889110601215021578430968552,1.2241099442971735,(0.65259967003+1.03831673842j),(0.946907028451+2.98704137381j),1.212014370477269
9858,"v3356(5,1)",5.889114574013511984531083644,1.1423207503334287,(0.398468909295-1.03495821245j),(0.756178911393+2.51530212382j),1.362253326121059
9859,"v3457(1,3)",5.889320722940395143656536890,1.2285158342509772,(1.0610278741-2.75284391188j),(1.0610278741-2.75284391188j),0.601101871953344
9860,"v3266(4,3)",5.889473165811836349661464720,1.1767129664808782,(0.782181932301-2.52561597898j),(1.15570797617+1.95195565896j),0.56557494511011
9861,"v3325(4,3)",5.890060477689076977580519220,1.0990867393861612,(0.563502948223+1.65303075459j),(0.774720274051+1.59384954319j),1.092363432217081
9862,"v3503(-4,1)",5.890205830837024090751135341,1.1735649697137172,(0.55695609179+1.52184572364j),(0.829438336528-2.43480016565j),1.112110856904294
9863,"v3239(1,4)",5.890509833137333093324712620,1.1801070104212013,(0.542271547904+2.30001136688j),(0.625438804877-2.00437512637j),1.125958232204467
9864,"v3289(2,3)",5.890583021799158832596665961,1.2800362622199555,(0.416541295857+1.90746611866j),(0.813238678039+3.11476675714j),1.193656522988628
9865,"v3273(5,2)",5.890616558017369031470864026,1.2194556274392492,(1.02946877913+1.51716172482j),(1.10956045089-1.37721674616j),0.724697922796754
9866,"v3299(2,3)",5.890639887791707812964136881,1.1211089478435465,(0.832004906596-3.13446071013j),(1.07528551931-2.71812664489j),0.519748027626742
9867,"v3404(-1,3)",5.890682200549917929266687183,1.2506687894531732,(1.12272996662+2.38531176147j),(1.17082954816+2.57755277629j),0.490959974805462
9868,"v3265(4,1)",5.890744117345788260503378215,1.2108767842550756,(0.547891946188-2.4221454883j),(0.684063820409+2.12961883341j),1.110215167983121
9869,"v3258(5,2)",5.891221795376865856180797304,1.2442907394118541,(0.642276121547+2.46499552108j),(0.642276121547+2.46499552108j),1.099721952338614
9870,"v3255(-1,4)",5.891631281948166720507996649,1.2057311678964113,(0.584717612476-2.24170147233j),(0.729400754384+2.40305379549j),1.064612485556714
9871,"v3362(-5,1)",5.891642637175782123928670562,1.1160815173681444,(0.683552204669+1.55107663j),(1.07517839364-2.86805232377j),0.717009601292693
9872,"v3465(-4,1)",5.892851403330293059824109224,1.1200202233252179,(0.506787121105+1.34326673431j),(0.661764993374-2.40940103336j),1.194481000221711
9873,"v3427(-3,2)",5.892902227654654470045260601,1.1327207099470735,(0.94911219632+2.64001517479j),(0.94911219632+2.64001517479j),0.611619803893543
9874,"v3372(-4,1)",5.894291270188913187644406299,1.282475833815002,(0.90421743101-1.57633260028j),(1.22901679585+2.04463232052j),0.753065247159124
9875,"v3517(1,3)",5.894480839110319396607740095,1.3658253556438531,(1.14697347658-2.00906125997j),(1.14697347658-2.00906125997j),0.789408642095554
9876,"v3288(1,4)",5.894514472144046089594721548,1.2114795171906536,(0.328626633173+1.51308782367j),(0.618548016092+1.98378576652j),1.387365625730665
9877,"v3270(4,1)",5.894776731269706607442995244,1.2635547971450811,(0.41207549243-1.77353513726j),(0.679402814263-2.09706499544j),1.318978786683062
9878,"v3399(-4,1)",5.895050426719742957300039933,1.3192919781482446,(0.429192001457+1.3324016886j),(1.17551713713-1.85770286278j),1.231092475274551
9879,"v3422(-2,3)",5.895067333337298584342944003,1.3319729045388502,(0.448511531692+2.16575698037j),(0.661425387908+2.43578930438j),1.287367682946859
9880,"v3498(-4,1)",5.895788087717666013503834585,1.2074978003590908,(0.535698488261+1.20954312962j),(0.641930545924+2.72187081227j),1.337761495883585
9881,"v3275(5,2)",5.895818056889573045101670578,1.229229570370536,(0.319607096632+2.66212994319j),(0.646336180745+2.36688138133j),1.433011293161395
9882,"v3320(-1,3)",5.895892763295149005638190675,1.3773324798686768,(0.364981752124-2.04671904374j),(1.02635903645-2.84101522311j),1.197399099374979
9883,"v3365(-2,3)",5.896292685248469350876880822,1.2998707271432297,(1.07842248337+1.65531829942j),(1.11108444631+1.98072123389j),0.788348986851003
9884,"v3415(1,3)",5.896364905138997735872895412,1.1433010059794919,(0.844863108275-1.57646895355j),(0.905206645977-1.94873107317j),0.873510464505173
